reverse_sync_row_ref,selected_in_final_loop,selected_event_index,group_id,group_index,story_band,zone_label,member_type,semantic_group,action_name,action_family,baseline_focus_member_id,member_id,case_id,combination_name,governing_clause_label,recommended_results_card,recommended_results_series_index,recommended_results_card_label,recommended_results_series_label,recommended_results_reason_label,viewer_overlay_row_id,viewer_row_ref,viewer_row_url,viewer_slice_url,row_ref,projected_cost_delta,max_dcr
cost_reduction::1::204::16438::rebar_down,True,1,S04:intermediate:nogroup:slab:SB1500X800,204,4,intermediate,wall,,rebar_down,rebar,16438,16438,16438,SVC_DRIFT,KDS-SVC-DRIFT-001,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::204::16438::rebar_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A204%3A%3A16438%3A%3Arebar_down&overlay_group_id=S04%3Aintermediate%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=204&overlay_action_name=rebar_down&overlay_story_band=4&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=16438&member_id=16438&baseline_focus_member_id=16438&overlay_member_id=16438&case_id=16438&combination=SVC_DRIFT&combination_name=SVC_DRIFT,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A204%3A%3A16438%3A%3Arebar_down&overlay_group_id=S04%3Aintermediate%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=204&overlay_action_name=rebar_down&overlay_story_band=4&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=16438&member_id=16438&baseline_focus_member_id=16438&overlay_member_id=16438&case_id=16438&combination=SVC_DRIFT&combination_name=SVC_DRIFT,,154.3752000000095,0.9856927465654954
cost_reduction::1::50::2642::rebar_down,True,1,S03:perimeter:nogroup:slab:SB1500X800,50,3,perimeter,wall,,rebar_down,rebar,2642,2642,2642,KDS_ULS_2,KDS-MOMENT-Y-001,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::50::2642::rebar_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A50%3A%3A2642%3A%3Arebar_down&overlay_group_id=S03%3Aperimeter%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=50&overlay_action_name=rebar_down&overlay_story_band=3&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=2642&member_id=2642&baseline_focus_member_id=2642&overlay_member_id=2642&case_id=2642&combination=KDS_ULS_2&combination_name=KDS_ULS_2,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A50%3A%3A2642%3A%3Arebar_down&overlay_group_id=S03%3Aperimeter%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=50&overlay_action_name=rebar_down&overlay_story_band=3&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=2642&member_id=2642&baseline_focus_member_id=2642&overlay_member_id=2642&case_id=2642&combination=KDS_ULS_2&combination_name=KDS_ULS_2,,154.3752000000095,0.9856927465654954
cost_reduction::1::278::31766::perimeter_frame_down,True,1,S05:perimeter:2:column:P 50x4,278,5,perimeter,column,2,perimeter_frame_down,perimeter_frame,31766,31766,31766,KDS_ULS_2,KDS-MOMENT-Y-001,envelope,0,Envelope,Envelope drift,default cost-reduction review opens the envelope response first,overlay_row::1::278::31766::perimeter_frame_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A278%3A%3A31766%3A%3Aperimeter_frame_down&overlay_group_id=S05%3Aperimeter%3A2%3Acolumn%3AP+50x4&overlay_group_index=278&overlay_action_name=perimeter_frame_down&overlay_story_band=5&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=0&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=31766&member_id=31766&baseline_focus_member_id=31766&overlay_member_id=31766&case_id=31766&combination=KDS_ULS_2&combination_name=KDS_ULS_2,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A278%3A%3A31766%3A%3Aperimeter_frame_down&overlay_group_id=S05%3Aperimeter%3A2%3Acolumn%3AP+50x4&overlay_group_index=278&overlay_action_name=perimeter_frame_down&overlay_story_band=5&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=0&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=31766&member_id=31766&baseline_focus_member_id=31766&overlay_member_id=31766&case_id=31766&combination=KDS_ULS_2&combination_name=KDS_ULS_2,,47.993856,-0.6129373705877352
cost_reduction::1::208::18693::slab_thickness_down,True,1,S04:perimeter:1:slab:default,208,4,perimeter,slab,1,slab_thickness_down,slab_thickness,18693,18693,18693,,,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::208::18693::slab_thickness_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A208%3A%3A18693%3A%3Aslab_thickness_down&overlay_group_id=S04%3Aperimeter%3A1%3Aslab%3Adefault&overlay_group_index=208&overlay_action_name=slab_thickness_down&overlay_story_band=4&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=18693&member_id=18693&baseline_focus_member_id=18693&overlay_member_id=18693&case_id=18693,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A208%3A%3A18693%3A%3Aslab_thickness_down&overlay_group_id=S04%3Aperimeter%3A1%3Aslab%3Adefault&overlay_group_index=208&overlay_action_name=slab_thickness_down&overlay_story_band=4&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=18693&member_id=18693&baseline_focus_member_id=18693&overlay_member_id=18693&case_id=18693,,7.40225,0.0
cost_reduction::1::41::2638::wall_thickness_down,True,1,S02:perimeter:nogroup:slab:SB1500X800,41,2,perimeter,wall,,wall_thickness_down,wall_thickness,2638,2638,2638,KDS_ULS_2,KDS-MOMENT-Y-001,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::41::2638::wall_thickness_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A41%3A%3A2638%3A%3Awall_thickness_down&overlay_group_id=S02%3Aperimeter%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=41&overlay_action_name=wall_thickness_down&overlay_story_band=2&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=2638&member_id=2638&baseline_focus_member_id=2638&overlay_member_id=2638&case_id=2638&combination=KDS_ULS_2&combination_name=KDS_ULS_2,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A41%3A%3A2638%3A%3Awall_thickness_down&overlay_group_id=S02%3Aperimeter%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=41&overlay_action_name=wall_thickness_down&overlay_story_band=2&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=2638&member_id=2638&baseline_focus_member_id=2638&overlay_member_id=2638&case_id=2638&combination=KDS_ULS_2&combination_name=KDS_ULS_2,,4.470137225861829,0.9856927465654954
cost_reduction::1::205::2960::wall_thickness_down,True,1,S04:intermediate:nogroup:slab:SB800X3002.00,205,4,intermediate,wall,,wall_thickness_down,wall_thickness,2960,2960,2960,KDS_ULS_2,KDS-MOMENT-Y-001,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::205::2960::wall_thickness_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A205%3A%3A2960%3A%3Awall_thickness_down&overlay_group_id=S04%3Aintermediate%3Anogroup%3Aslab%3ASB800X3002.00&overlay_group_index=205&overlay_action_name=wall_thickness_down&overlay_story_band=4&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=2960&member_id=2960&baseline_focus_member_id=2960&overlay_member_id=2960&case_id=2960&combination=KDS_ULS_2&combination_name=KDS_ULS_2,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A205%3A%3A2960%3A%3Awall_thickness_down&overlay_group_id=S04%3Aintermediate%3Anogroup%3Aslab%3ASB800X3002.00&overlay_group_index=205&overlay_action_name=wall_thickness_down&overlay_story_band=4&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=2960&member_id=2960&baseline_focus_member_id=2960&overlay_member_id=2960&case_id=2960&combination=KDS_ULS_2&combination_name=KDS_ULS_2,,4.346070000019092,0.9856927465654954
cost_reduction::1::295::27170::wall_thickness_down,True,1,S07:intermediate:nogroup:slab:SB1500X800,295,7,intermediate,wall,,wall_thickness_down,wall_thickness,27170,27170,27170,KDS_ULS_2,KDS-MOMENT-Y-001,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::295::27170::wall_thickness_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A295%3A%3A27170%3A%3Awall_thickness_down&overlay_group_id=S07%3Aintermediate%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=295&overlay_action_name=wall_thickness_down&overlay_story_band=7&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=27170&member_id=27170&baseline_focus_member_id=27170&overlay_member_id=27170&case_id=27170&combination=KDS_ULS_2&combination_name=KDS_ULS_2,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A295%3A%3A27170%3A%3Awall_thickness_down&overlay_group_id=S07%3Aintermediate%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=295&overlay_action_name=wall_thickness_down&overlay_story_band=7&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=27170&member_id=27170&baseline_focus_member_id=27170&overlay_member_id=27170&case_id=27170&combination=KDS_ULS_2&combination_name=KDS_ULS_2,,4.346070000019092,0.9856927465654954
cost_reduction::1::47::8567::wall_thickness_down,True,1,S03:intermediate:nogroup:slab:SB800X3002.00,47,3,intermediate,wall,,wall_thickness_down,wall_thickness,8567,8567,8567,KDS_ULS_2,KDS-MOMENT-Y-001,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::47::8567::wall_thickness_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A47%3A%3A8567%3A%3Awall_thickness_down&overlay_group_id=S03%3Aintermediate%3Anogroup%3Aslab%3ASB800X3002.00&overlay_group_index=47&overlay_action_name=wall_thickness_down&overlay_story_band=3&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=8567&member_id=8567&baseline_focus_member_id=8567&overlay_member_id=8567&case_id=8567&combination=KDS_ULS_2&combination_name=KDS_ULS_2,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A47%3A%3A8567%3A%3Awall_thickness_down&overlay_group_id=S03%3Aintermediate%3Anogroup%3Aslab%3ASB800X3002.00&overlay_group_index=47&overlay_action_name=wall_thickness_down&overlay_story_band=3&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=8567&member_id=8567&baseline_focus_member_id=8567&overlay_member_id=8567&case_id=8567&combination=KDS_ULS_2&combination_name=KDS_ULS_2,,4.3460699999899886,0.9856927465654954
cost_reduction::1::289::27674::wall_thickness_down,True,1,S06:intermediate:nogroup:slab:SB800X3002.00,289,6,intermediate,wall,,wall_thickness_down,wall_thickness,27674,27674,27674,KDS_ULS_2,KDS-MOMENT-Y-001,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::289::27674::wall_thickness_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A289%3A%3A27674%3A%3Awall_thickness_down&overlay_group_id=S06%3Aintermediate%3Anogroup%3Aslab%3ASB800X3002.00&overlay_group_index=289&overlay_action_name=wall_thickness_down&overlay_story_band=6&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=27674&member_id=27674&baseline_focus_member_id=27674&overlay_member_id=27674&case_id=27674&combination=KDS_ULS_2&combination_name=KDS_ULS_2,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A289%3A%3A27674%3A%3Awall_thickness_down&overlay_group_id=S06%3Aintermediate%3Anogroup%3Aslab%3ASB800X3002.00&overlay_group_index=289&overlay_action_name=wall_thickness_down&overlay_story_band=6&overlay_zone_label=intermediate&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=27674&member_id=27674&baseline_focus_member_id=27674&overlay_member_id=27674&case_id=27674&combination=KDS_ULS_2&combination_name=KDS_ULS_2,,4.3460699999899886,0.9856927465654954
cost_reduction::1::230::3833::detailing_down,True,1,S04:perimeter:nogroup:slab:SB1500X800,230,4,perimeter,wall,,detailing_down,detailing,3833,3833,3833,SVC_DRIFT,KDS-SVC-DRIFT-001,envelope,1,Envelope,Final drift,governing drift/serviceability signal prefers final drift envelope,overlay_row::1::230::3833::detailing_down,,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=member&overlay_row_id=overlay_row%3A%3A1%3A%3A230%3A%3A3833%3A%3Adetailing_down&overlay_group_id=S04%3Aperimeter%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=230&overlay_action_name=detailing_down&overlay_story_band=4&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=3833&member_id=3833&baseline_focus_member_id=3833&overlay_member_id=3833&case_id=3833&combination=SVC_DRIFT&combination_name=SVC_DRIFT,../visualization/structural_optimization_viewer.html?source=cost_reduction_reverse_sync&focus=results&view=core&overlay_focus=group&overlay_row_id=overlay_row%3A%3A1%3A%3A230%3A%3A3833%3A%3Adetailing_down&overlay_group_id=S04%3Aperimeter%3Anogroup%3Aslab%3ASB1500X800&overlay_group_index=230&overlay_action_name=detailing_down&overlay_story_band=4&overlay_zone_label=perimeter&overlay_selected_event_index=1&results_card=envelope&results_series_index=1&results_companion=checks&results_detail_block=chart&interactive_detail_more=open&overlay_detail_more=open&focus_member=3833&member_id=3833&baseline_focus_member_id=3833&overlay_member_id=3833&case_id=3833&combination=SVC_DRIFT&combination_name=SVC_DRIFT,,3.1992800000193062,0.9856927465654954
